song_key,noun_vector,prediction
2014-1,bout air balloon space news love,1.0
2014-2,boy horse storm love pie heart freezer tale bedroom mama dope,0.0
2014-3,mouth mind mystery ride head imperfection distraction rhythm blue,0.0
2014-4,thing bitch drop lane taste gold hater truth flow swagger department star girl hand,1.0
2014-5,dollar thing word,1.0
2014-6,flight class seat lap girl talk conversation lipstick stamp passport arena penis damn sex pussy pet phone booty,0.0
2014-7,suit man luck friend answer,1.0
2014-8,bass bout size boom boy junk place shit inch booty night figure silicone doll bitch playing,0.0
2014-9,bit money bettin time life thing sayin baby boy,1.0
2014-10,stand look self control,1.0
2014-11,dance timber thing hotel swing plane,1.0
2014-13,heartbreaker break faker foot liar world beat ex-man girlfriend hella hair,0.0
2014-14,box way,1.0
2014-16,leaf lottery cause cuckoo friend monster bed vision day civilian track child kid struggle nut,0.0
2014-18,eye,1.0
2014-19,ceiling feeling heart love,0.0
2014-20,address town postcode envy stain ball gown hotel room kind buzz care,1.0
2014-21,girl distance limit right rule soul fractal thought blast past,1.0
2014-22,eye,1.0
2014-23,day card fold blood inside eye light,0.0
2014-24,heart day ground foot night time story cage love inside,1.0
2014-25,time life,1.0
2014-26,ya widow baby cat mouse game liking world time mirror attraction shh,0.0
2014-27,anybody girl mind moscato bottle pot kitten wood night cause,0.0
2014-28,clutch n-no,1.0
2014-29,taste life map place time night,1.0
2014-30,nigga ya ho bitch girl titty drug weed baby booty change chain karat bone dick,0.0
2014-31,dream cloud day life window star control,1.0
2014-32,person money time mind high life daddy playground make way play pretend fun end home pain,0.0
2014-33,leaf sky,1.0
2014-34,picture blue moon clap silver gold,1.0
2014-35,liquor eye love night body club complaint light sheet wash rag boy voice surfing car bout bitch height daddy ya,0.0
2014-36,dope dealer money bitch hell shit tower country-ass nigga little ass club,1.0
2014-37,hand heart fever babe highway hell body,1.0
2014-38,tequila contigo dimensin en tu olor,1.0
2014-39,space star race match light sleeping,1.0
2014-40,butt bit cake damn working dip bath baby future,1.0
2014-41,scene shot mission peace make simplicity heart shame,1.0
2014-42,body summer fool friend plottin minute dick girl shower cause number nigga think game,0.0
2014-43,set man type ex try land minute ass detention tomorrow night,0.0
2014-44,heart,1.0
2014-45,day heart knife beating stop thing love dream time money place feel mind broken waste worry shoulder pair wing sky star world,1.0
2014-46,point cause lion bee stripe,1.0
2014-47,time fish pond fun world trouble,1.0
2014-48,cause mold rest relief world,0.0
2014-49,mixtape thump wheel ride mix drink truck window baby shotgun seat kiss world turn,1.0
2014-50,girl ya diamond oooh baby world time living plastic way school class,1.0
2014-51,view,1.0
2014-52,friend trouble sheet heart hotel floor fun bit,1.0
2014-53,hand air tonight waitress check,1.0
2014-54,nigga twirl drop milli block niggas glock shot check neck cash trap house crack grade difference shit jaja money thing way ball talkingg dog pussy cat doghouse daddy pound cop thot gon hot shooter gs9 gs gun squad bitch problem brawl ar daylight bark body week everybody bullet hole bully run man mode motherfucker ayo,0.0
2014-55,love emotion girl thing,1.0
2014-56,evening time lady love ya act kindness anybody couch,1.0
2014-57,age right,0.0
2014-58,ride motherfucking hitta finger trigger day thing rap shit crack smoke drink got block glock bucket act snitch trippin bitch case pas word love loyalty half bean wall ass nigga gravy biscuit way yola figure kick weight reason house lake plate talkingg room business suit tie,0.0
2014-59,line kid smile life car lane,0.0
2014-60,brother road sister water blood,1.0
2014-61,drum ass bra eye,1.0
2014-63,mind girl writing line baby bed chance crawl,1.0
2014-64,sugar cup song boy dance groove,1.0
2014-65,make bang gun nigga noise boy fast choice drink tree way bitch pussy holla mouth ring baby backseat,0.0
2014-66,road clay luck time smile day return elm shade,1.0
2014-67,soul cause,1.0
2014-68,burning sh ridin gun thing country town mama ya girl south toast time drink,0.0
2014-69,ya oven time,1.0
2014-70,love life start heart tonight,1.0
2014-71,animal,1.0
2014-72,homie nigga servin white shark somethin pussy wayx2 time doctor bitch league coffin baby mommy toppy red devil college night gas cause day,1.0
2014-73,midnight dog school bus kickin dust wire fence jean baby park truck stop map dot dreamin seat leanin uptown home kid house room couch base sayin way bug zapper light,0.0
2014-74,brave,0.0
2014-75,short minute hand waist place,0.0
2014-76,nothin layin right streetlight baby road lane sky train window wind light gold,1.0
2014-77,baby thing flame cause world series nigga panamera diamond watch,1.0
2014-78,baby life tonight,1.0
2014-79,couple ticket fella aisle thought stewardess somethin flight attention limo airport ride champagne glass plane,1.0
2014-80,appetite birthday time balloon,0.0
2014-81,dress sky leather boot goodbye shot bartender pour tonight rock,1.0
2014-82,messiah theory word,1.0
2014-83,girl bitch place ass guy,1.0
2014-84,trip morning night flight schedule life blunt shit club shot invitation party,1.0
2014-85,memory,1.0
2014-86,wish thing youre dream id,0.0
2014-87,bitch hoe stunt dick bush dime ass key drop boy think life stop tennis shoe asshole face,1.0
2014-88,control bite,1.0
2014-89,nigga damn road number miss snappin track time team drop bitch queen somethin man cheque right award press day icicle sweat mean king,1.0
2014-90,club purp shade mini skirt foot standing couch house bottle respect model check cause shame touch night nature hooray hand sky wave floor lot flavor game kick player tongue thing right chopper athlete wannabe showin beast pair hype paramedic cup grape bitch head blow dryer,1.0
2014-91,hair sun burn cap sunshine eye line tide rollin bar reggae band dread head sittin corner margarita hand bout breezin sippin singin,0.0
2014-93,standing underwear town diamond ring jean floor,0.0
2014-94,sparkle eye,1.0
2014-95,club girl brim eye boy mid beat mascara lipstick partition handprint footprint glass grip ass music wine drip filth talk trash,1.0
2014-96,song dope girl nigga shorty verse quality ass attitude swag tongue place game,1.0
2014-97,nigga shit bit tv season work studio night watch lesson man squad perspective movin problem person feedback provin shoe matter foot boy eavesdroppin droppin,0.0
2014-98,foot,1.0
2014-99,somethin church girl dress life,0.0
2014-100,matrimony,0.0
