song_key,noun_syn_hype_vector,prediction
2014-1,air balloon love news space turn,1.0
2014-2,bedroom deep-freeze heart horse love ma male_child narrative pie pot storm,0.0
2014-3,blue distraction drive head imperfection mind mouth mystery rhythm,0.0
2014-4,bitch department drop flow girl gold hand hater lane star swagman taste thing truth,1.0
2014-5,dollar thing word,1.0
2014-6,cast class conversation cunt damn flight girl lap lipstick loot pass penis pet seat sexual_activity sphere talk telephone,0.0
2014-7,answer fortune friend man suit,1.0
2014-8,bass bitch boom crap debris doll figure inch loot male_child night playing silicone size topographic_point turn,0.0
2014-9,baby life male_child money thing time topographic_point,1.0
2014-10,base control expression self,1.0
2014-11,airplane dance hotel lumber swing thing,1.0
2014-13,beat foot girlfriend hair heartbreaker imposter interruption liar universe,0.0
2014-14,box manner,1.0
2014-16,bed cause child civilian day fathead friend leaf lottery monster nut path struggle vision,1.0
2014-18,eye,1.0
2014-19,ceiling feeling heart love,1.0
2014-20,address ball buzz care envy gown hotel kind room stain town zip_code,1.0
2014-21,blast distance fractal girl idea limit past right rule soul,1.0
2014-22,eye,1.0
2014-23,blood card day eye fold inside light,0.0
2014-24,cage day foot heart inside land love narrative night time,1.0
2014-25,life time,1.0
2014-26,attraction baby cat game liking mirror mouse time universe widow,0.0
2014-27,bottle cause girl kitten mind night pot wood,0.0
2014-28,clasp,1.0
2014-29,life map night taste time topographic_point,0.0
2014-30,baby bitch bone breast chain change dick drug girl holmium karat loot nigger weed,0.0
2014-31,cloud control day dream life star window,1.0
2014-32,brand dad end fun high home life make-believe manner mind money pain person play resort_area time,0.0
2014-33,leaf sky,1.0
2014-34,blue gold knock moon picture silver,1.0
2014-35,ailment baseball_club bitch body car dad eye height light liquor love male_child night rag sheet surfing turn voice wash,1.0
2014-36,baseball_club bitch buttocks crap hell little money nigger pot tower trader,1.0
2014-37,baby body fever hand heart hell highway,1.0
2014-38,en tequila,1.0
2014-39,light match race sleeping space star,1.0
2014-40,baby bath butt cake damn dip future topographic_point working,0.0
2014-41,brand heart mission peace scene shame shooting simplicity,1.0
2014-42,body cause dick fool friend game girl minute nigger number shower summer think,0.0
2014-43,attempt buttocks detention ex-husband land man minute night set tomorrow type,0.0
2014-44,heart,1.0
2014-45,beating concern day dream feel heart knife love mind money pair shoulder sky star stop thing time topographic_point universe waste wing,1.0
2014-46,band bee cause lion point,1.0
2014-47,fish fun pond time trouble universe,1.0
2014-48,cast cause relief remainder universe,0.0
2014-49,baby bend drink drive kiss mix seat shotgun thump truck universe wheel window,0.0
2014-50,baby class diamond girl life manner plastic school time universe,0.0
2014-51,position,1.0
2014-52,floor friend fun heart hotel sheet topographic_point trouble,1.0
2014-53,air check hand tonight waitress,0.0
2014-54,argon asshole ball bark bash bitch block body bull bullet bully cash cat check class crack crap cunt dad day difference dog drop gun hole house kennel kink man manner money neck nigger pound problem run shooting squad taw thing trap week,0.0
2014-55,emotion girl love thing,1.0
2014-56,act evening kindness lady love sofa time,0.0
2014-57,age right,1.0
2014-58,act bean biscuit bitch blame block bucket business buttocks case crack crap day drink drive figure finger fink gravy gun_trigger home_plate house kick lake love loyalty manner necktie nigger one-half pas reason room smoke suit thing wall weight word,1.0
2014-59,car child lane life line smile,0.0
2014-60,blood brother road sister water,1.0
2014-61,brassiere buttocks drum eye,1.0
2014-63,baby bed crawl girl line mind opportunity writing,0.0
2014-64,cup dance groove male_child song sugar,1.0
2014-65,baby backseat bellow bitch brand choice cunt drink fast gun knock male_child manner mouth nigger noise ring tree,0.0
2014-66,clay day elm fortune road shade smile tax_return time,0.0
2014-67,cause soul,1.0
2014-68,burning drink girl gun ma south state thing time toast town,0.0
2014-69,oven time,0.0
2014-70,heart life love start tonight,1.0
2014-71,animal,0.0
2014-72,baby bitch cause coffin college cunt day doctor gas league ma nigger night red satan shark time white,0.0
2014-73,baby base bug bus child dog dust fence home house jean light manner map midnight park point room school seat sofa stop truck uptown wire zapper,0.0
2014-74,brave,0.0
2014-75,hand minute short topographic_point waist,0.0
2014-76,baby gold lane light right road sky streetlight train wind window,1.0
2014-77,baby cause diamond fire nigger series thing universe watch,1.0
2014-78,baby life tonight,1.0
2014-79,airplane airport aisle attention champagne chap couple drive flight glass idea limousine stewardess ticket,0.0
2014-80,appetite balloon birthday time,0.0
2014-81,adieu bartender boot dress leather rock shooting sky tonight,0.0
2014-82,messiah theory word,1.0
2014-83,bitch buttocks girl guy topographic_point,1.0
2014-84,agenda baseball_club crap flight invitation life morning night party shooting trip,1.0
2014-85,memory,1.0
2014-86,dream idaho thing wish,0.0
2014-87,asshole bitch buttocks dick dime drop face hoe key life male_child shoe shrub stop stunt tennis think,0.0
2014-88,bite control,1.0
2014-89,award bitch check damn day drop girl icicle imperativeness king man mean nigger number path perspiration queen right road team time,0.0
2014-90,animal aspirant athlete ballyhoo baseball_club batch bitch blow bottle cause check chop cup dryer floor foot game grape hand head house hurrah kick miniskirt model nature night pair paramedic player respect right shade shame skirt sky sofa spirit standing thing tongue touch wave,0.0
2014-91,apprehension barroom burn cap corner eye hair hand head line margarita reggae set sun sunlight tide turn,0.0
2014-93,diamond floor jean ring standing town underwear,0.0
2014-94,eye sparkle,0.0
2014-95,baseball_club beat brim buttocks clasp drip eye filth footprint girl glass lipstick male_child mascara music partition rubbish talk wine,0.0
2014-96,attitude buttocks game girl nigger poetry pot quality song swag tongue topographic_point,0.0
2014-97,crap feedback foot lesson male_child man matter nigger night person position problem season shoe squad studio television topographic_point watch work,0.0
2014-98,foot,1.0
2014-99,church dress girl life,0.0
2014-100,marriage,1.0
